iteration,test_acc,test_acc_per_agent
0,0.4992564753893098,"[0.49146757679180886, 0.5009273790840348, 0.5051194539249146, 0.49568788501026695, 0.5030800821355236]"
1,0.5381295647922855,"[0.49146757679180886, 0.5009273790840348, 0.5631399317406144, 0.6279260780287474, 0.5071868583162218]"
2,0.5335616523100686,"[0.49146757679180886, 0.5009273790840348, 0.6552901023890785, 0.5092402464065708, 0.5108829568788501]"
3,0.527880004553728,"[0.49146757679180886, 0.5009273790840348, 0.6313993174061433, 0.5039014373716633, 0.5117043121149897]"
4,0.5032300967109068,"[0.49146757679180886, 0.5009273790840348, 0.49829351535836175, 0.5039014373716633, 0.5215605749486653]"
5,0.5185073041031039,"[0.49146757679180886, 0.5009273790840348, 0.49829351535836175, 0.5039014373716633, 0.5979466119096509]"
6,0.5342206987811144,"[0.49146757679180886, 0.5009273790840348, 0.5017064846416383, 0.5039014373716633, 0.6731006160164271]"
7,0.5257918560370031,"[0.49146757679180886, 0.5009273790840348, 0.4948805460750853, 0.5039014373716633, 0.637782340862423]"
8,0.5085433960780709,"[0.49146757679180886, 0.5009273790840348, 0.4948805460750853, 0.5039014373716633, 0.5515400410677618]"
9,0.5064078724641078,"[0.49146757679180886, 0.5009273790840348, 0.4948805460750853, 0.5039014373716633, 0.5408624229979466]"
10,0.5017261476181119,"[0.49146757679180886, 0.5009273790840348, 0.4948805460750853, 0.5039014373716633, 0.5174537987679672]"
11,0.49885140429162317,"[0.49146757679180886, 0.5009273790840348, 0.4948805460750853, 0.5039014373716633, 0.5030800821355236]"
12,0.49827645562632544,"[0.49146757679180886, 0.5009273790840348, 0.4948805460750853, 0.5039014373716633, 0.500205338809035]"
13,0.4977836424846417,"[0.49146757679180886, 0.5009273790840348, 0.4948805460750853, 0.5039014373716633, 0.497741273100616]"
14,0.4976193714374137,"[0.49146757679180886, 0.5009273790840348, 0.4948805460750853, 0.5039014373716633, 0.49691991786447637]"
15,0.4976193714374137,"[0.49146757679180886, 0.5009273790840348, 0.4948805460750853, 0.5039014373716633, 0.49691991786447637]"
16,0.5071471506895406,"[0.5392491467576792, 0.5007847053787987, 0.4948805460750853, 0.5039014373716633, 0.49691991786447637]"
17,0.5637499485549862,"[0.6416382252559727, 0.6814096162077329, 0.4948805460750853, 0.5039014373716633, 0.49691991786447637]"
18,0.5017784978322714,"[0.5085324232081911, 0.5017834213154516, 0.4948805460750853, 0.506776180698152, 0.49691991786447637]"
19,0.5032659906798758,"[0.5187713310580204, 0.5002140105578542, 0.4948805460750853, 0.5039014373716633, 0.49856262833675563]"
